doi,title,author,affiliations,abstract,keywords,journal,year,month,type,language,categories
10.1371/journal.pone.0253763,Opportunities and limitations: A comparative analysis of citizen science and expert recordings for bioacoustic research,"Jaeckel,Denise;Mortega,KimG.;Sturm,Ulrike;Brockmeyer,Ulrich;Khorramshahi,Omid;Voigt-Heucke,SilkeL.",Leibniz Institut fur Evolutions und Biodiversitatsforschung;Humboldt University of Berlin;Free University of Berlin,"Citizen science is an approach that has become increasingly popular in recent years. Despite this growing popularity, there still is widespread scepticism in the academic world about the validity and quality of data from citizen science projects. And although there might be great potential, citizen science is a rarely used approach in the field of bioacoustics. To better understand the possibilities, but also the limitations, we here evaluated data generated in a citizen science project on nightingale song as a case study. We analysed the quantity and quality of song recordings made in a non-standardized way with a smartphone app by citizen scientists and the standardized recordings made with professional equipment by academic researchers. We made comparisons between the recordings of the two approaches and among the user types of the app to gain insights into the temporal recording patterns, the quantity and quality of the data. To compare the deviation of the acoustic parameters in the recordings with smartphones and professional devices from the original song recordings, we conducted a playback test. Our results showed that depending on the user group, citizen scientists produced many to a lot of recordings of valid quality for further bioacoustic research. Differences between the recordings provided by the citizen and the expert group were mainly caused by the technical quality of the devices used-and to a lesser extent by the citizen scientists themselves. Especially when differences in spectral parameters are to be investigated, our results demonstrate that the use of the same high-quality recording devices and calibrated external microphones would most likely improve data quality. We conclude that many bioacoustic research questions may be carried out with the recordings of citizen scientists. We want to encourage academic researchers to get more involved in participatory projects to harness the potential of citizen science-and to share scientific curiosity and discoveries more directly with society.",,PLOS ONE,2021,JUN 28,Article,English,Multidisciplinary Sciences
10.1007/s10592-014-0567-2,Lowland panmixia versus highland disjunction: genetic and bioacoustic differentiation in two species of East African White-eye birds,"Habel,JanChristian;Ulrich,Werner;Peters,Gustav;Husemann,Martin;Lens,Luc",Technical University of Munich;Nicolaus Copernicus University;Zoologisches Forschungsmuseum Alexander Koenig (ZFMK);Baylor University;Ghent University,"East-African mountain forest species often occur in small and isolated populations, whereas species inhabiting the dry lowland savannahs exist in large and interconnected population networks. Taxa with closely related highland and lowland species, such as the East-African White-eye birds, allow testing for the potential effects of the two contrasting distribution patterns, mountain disjunction versus lowland panmixia. In this study, we compare the population genetic and bioacoustic differentiation of two representatives of the genus Zosterops: Zosterops poliogaster is exclusively found in forests at higher elevations; in comparison, Zosterops abyssinicus, only occurs in the dry and warm lowland savannahs. Both species were analysed across a similar geographical scale. Population genetic differentiation was inferred using the same set of 15 polymorphic microsatellite loci for both species. In addition, we quantitatively analyzed bioacoustic traits. Both data sets indicate a strong population differentiation among populations of the highland species, but an absence of differentiation in the lowland species. In addition, the lowland Z. abyssinicus was characterised by a twofold higher genetic diversity than detected for the highland Z. poliogaster. These two contrasting intraspecific population structures may reflect the opposite ecology and distribution of these species: the strong population isolation of Z. poliogaster resulting from long-term restriction to the cool and moist mountain forests at higher elevations has led to strong differentiation among local populations and resulted in a comparatively low level of intraspecific variability. In contrast, population panmixia in the lowland Z. abyssinicus provides a high level of gene flow allowing the maintenance of high genetic diversity and avoiding strong population structuring. These findings need to be considered when planning conservation actions.",Bioacoustics;Cloud forest;Differentiation;Disjunction;Diversity;Panmixia;Population genetics;Savannah,CONSERVATION GENETICS,2014,JUN,Article,English,Biodiversity Conservation;Genetics \& Heredity
,Bioacoustic assessment of the taxonomic status of pool frog populations (Rana lessonae) with reference to a topotypical population,"Sinsch,U;Schneider,H",University of Bonn,"Six structural and temporal features of the mating calls of pool frogs recorded at eight localities in Italy, Germany, Yugoslavia and Albania were compared with those of the calls of topotypical Rana lessonae in northern Italy. All populations shared three out of six characters studied: call duration, intercall interval and call period. The pool frogs of three localities in peninsular Italy significantly differed in three characters from those of the other six localities, including the northern Italian one: pulses per pulse group, pulse groups per call, and pulse groups per second. This study demonstrates the existence of Rana bergeri a pool frog Species different from R. lessonae in peninsular Italy, but does not support the species status of the chemotaxonomically established R. shqiperica, which is considered as a synonym of R. lessonae.",Rana lessonae;Rana bergeri;water frog;mating call;bioacoustic method,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1996,JUN,Article,English,Evolutionary Biology;Zoology
10.1080/02755947.2014.943864,Laboratory Evaluation of a Bioacoustic Bubble Strobe Light Barrier for Reducing Walleye Escapement,"Flammang,MarkK.;Weber,MichaelJ.;Thul,MeganD.",Iowa State University,"Fish escapement is a largely overlooked challenge to managing reservoir fisheries. Physical barriers may help retain fish in reservoirs but are often not practical due to high reservoir debris loads and maintenance requirements of these structures. As an alternative, nonphysical barriers may also be successful at increasing fish retention in reservoirs through the use of negative stimuli that divert fish away from targeted locations. However, the effectiveness of nonphysical barriers can vary considerably among barrier stimuli and fish species because the barrier's success is dependent upon on a behavioral response from fish. We conducted a laboratory experiment to evaluate the effectiveness of a bioacoustic bubble-strobe light barrier at reducing Walleye Sander vitreus escapement rates. We hypothesized that increasing the number and frequency of barrier stimuli would result in Walleyes approaching the barrier less frequently, reduced escapement, and increased amount of time before escapement occurred. Walleyes approached the barrier and were successfully deterred most often when lights were off and sound was on. Walleye escapement rates declined from 89.3\% with the barrier off to 44.1\% with low and medium sound, whereas up to 100\% of the fish escaped with the addition of light. Mean time before escapement and time to 50\% escapement increased with the use of sound, whereas fish escaped in less time when light was used as a deterrent. Most Walleyes escaped around sunset indicating that fish were most active during the crepuscular period. Despite reductions in escapement associated with sound-bubble barriers, we recommend that alternative nonphysical barriers be evaluated for their potential to further increase retention of Walleyes before installation of sound barrier deterrent systems in reservoirs.",,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,2014,,Article,English,Fisheries
10.1016/j.foodcont.2019.02.026,Bioacoustic detection of Callosobruchus chinensis and Callosobruchus maculatus in bulk stored chickpea (Cicer arietinum) and green gram (Vigna radiata),"Banga,Km.Sheetal;Kotwaliwale,Nachiket;Mohapatra,Debab;ya;Giri,SarojKumar;Babu,V.Bhushana",Indian Council of Agricultural Research (ICAR);ICAR - Central Institute of Agricultural Engineering,"Insects are one of the major reasons for post-harvest losses in stored food legumes. Real time detection at an early stage of insect infestation can overcome the foremost problem of infestation. Acoustic detection method detects the hidden as well as moving insects by amplifying and filtering their motility and feeding sounds. Crawling and feeding activities of two insects Callosobruchus chinensis and Callosobruchus maculatus in chickpea (Cicer arietinum) and green gram (Vigna radiata) were detected by using an insect detection probe placed in an acoustically insulated bin. Temperature and relative humidity were also measured through sensors mounted on the same probe. Captured sounds were pre-screened and analysed by using sound analysis software. Significant differences were found between the amplitude of two insects in both the legumes. Amplitudes of Callosobruchus chinensis were 79.32 dB and 84.01 dB for 59 ms duration in chickpea and green gram, respectively, whereas, the amplitude of Callosobruchus maculatus was 97.65 dB and 95.53 dB for 68 ms in chickpea and green gram, respectively. The detection range of the acoustic sensor was 300 mm omnidirectional. Formants (F1, F2, F3 and F4), formant bandwidth (FBW3), frequency and spectral power were observed as principal components for the detection of insects' infestation (C. chinensis and C. maculatus) in bulk stored food legumes (chickpea and green gram). Formants of sound spectra found a specific role in the discrimination of insect and background noise. The findings of this study elucidated that acoustic detection method will provide rapid and non-destructive detection of infestation in bulk stored food legumes.",Bioacoustic;Food legumes;Sensors;Acoustic signal processing;Insect infestation;Formants,FOOD CONTROL,2019,OCT,Article,English,Food Science \& Technology
10.1152/japplphysiol.00273.2006,Comparison of lung sound transducers using a bioacoustic transducer testing system,"Kraman,SteveS.;Wodicka,GeorgeR.;Pressler,GaryA.;Pasterkamp,Hans",University of Kentucky;Purdue University System;Purdue University;Purdue University West Lafayette Campus;University of Manitoba,"Comparison of lung sound transducers using a bioacoustic transducer testing system. J Appl Physiol 101: 469 - 476, 2006. First published April 20, 2006; doi: 10.1152/japplphysiol.00273.2006. - Sensors used for lung sound research are generally designed by the investigators or adapted from devices used in related fields. Their relative characteristics have never been defined. We employed an artificial chest wall with a viscoelastic surface and a white noise signal generator as a stable source of sound to compare the frequency response and pulse waveform reproduction of a selection of devices used for lung sound research. We used spectral estimation techniques to determine frequency response and cross-correlation of pulses to determine pulse shape fidelity. The sensors evaluated were the Siemens EMT 25 C accelerometer (Siemens); PPG 201 accelerometer (PPG); Sony ECM-T150 electret condenser microphone with air coupler (air coupler; with cylindrical air chambers of 5-, 10-, and 15-mm diameter and conical air chamber of 10- mm diameter); Littman classic stethoscope head (Littman) connected to an electret condenser microphone; and the Andries Tek (Andries) electronic stethoscope. We found that the size and shape of the air coupler chamber to have no important effect on the detected sound. The Siemens, air coupler, and Littman performed similarly with relatively flat frequency responses from 200 to 1,200 Hz. The PPG had the broadest frequency response, with useful sensitivity extending to 4,000 Hz. The Andries' frequency response was the poorest above 1,000 Hz. Accuracy in reproducing pulses roughly corresponded with the high-frequency sensitivity of the sensors. We conclude that there are important differences among commonly used lung sound sensors that have to be defined to allow the comparison of data from different laboratories.",respiratory sounds;respiratory acoustics;microphones;accelerometers,JOURNAL OF APPLIED PHYSIOLOGY,2006,AUG,Article,English,Physiology;Sport Sciences
10.1590/S0001-37652004000200020,Bioacoustic investigations and taxonomic considerations on the Cicadetta montana species complex (Homoptera : Cicadoidea : Tibicinidae),"Gogala,M;Trilar,T",Slovenian Academy of Sciences \& Arts (SASA),"Recent bioacoustic investigations have shown that Cicadetta montana Scopoli 1772 is a complex of morphologically similar sister species that are best characterized by their song patterns. At the type locality of C. montana, only mountain cicadas with simple, long lasting song phrases were heard, recorded and collected. Therefore, we have good reasons to suggest that this type of song is characteristic for C montana s. str. Boulard described a song of C montana from France with phrases composed of a long and a short echeme; this type of song is characteristic for cicadas morphologically corresponding to C. montana var. brevipennis Fieber 1876; we suggest to raise this taxon to species level. On the basis of specific song, Puissant and Boulard described C. cerdaniensis from Pyrenees. A similar case was the discovery and description of C montana macedonica Schedl 1999 from Macedonia; since these Macedonian cicadas are sympatric with at least two other cryptic species in the C montana group and molecular investigations showed substantial genetic differences between C macedonica and C. montana or C. brevipennis, we conclude that this taxon should also be raised to species level. Songs of closely related C podolica and Korean mountain cicada are presented as well.",Cicadetta montana;Cicadetta spp.;cicadas;bioacoustics;systematics,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2004,JUN,Article; Proceedings Paper,English,Multidisciplinary Sciences
10.3161/15081109ACC2019.21.1.006,High throughput bioacoustic monitoring and phenology of the greater noctule bat (Nyctalus lasiopterus) compared to other migratory species,"Bartonicka,Tomas;Miketova,Nikola;Hulva,Pavel",Masaryk University Brno;University of Ostrava;Charles University Prague,"Conventional monitoring tools are seldom effective for studying the ecology of rare and elusive mammals. In the present study, we use automated ultrasound detectors to provide information about seasonal activity of the greater noctule bat (Nyctalus lasiopterus), the largest and one of least known European bats. We selected localities within Central Europe with diverse geomorphological contexts, including rivers of different sizes and mountain passes. The study demonstrates the capability of the automatic recording approach to achieve bioacoustic discrimination of this species, but also pointed to the persistent need of integrating results from automatic classification software applications with the feedback from manual approaches. The high throughput capacity of the assay proved to be efficient, and the regular occurrence of the species was identified at two localities. These locations are associated with two known and intensely used migratory corridors of winged animals going through Vltava River valley and Cervenohorske Saddle in Jeseniky mountains, as illustrated also by the activity patterns of other migratory species. Together with the occurrence of spring and autumn peaks in activity, these findings are in concordance with the plesiomorphic condition in pipistrelloid bats, showing also migratory behavior, and represent further indirect evidence of migration of the greater noctule. This pattern could be facilitated by the trophic niche of the species, involving predation of migrating songbirds. Differences in phenology of migratory species observed at particular sites likely mirror position of the locality in relation to migration flyways, seasonal and geographic variation in prey availability and energy demands etc. Further application of bioacoustic monitoring and other tools is necessary to obtain detailed information about the range and movement ecology of the species in higher latitudes.",migration;automated detectors;central Europe;greater noctule;Nyctalus lasiopterus;SonoChiro;Vltava River valley;Cervenohorske Saddle,ACTA CHIROPTEROLOGICA,2019,MAY,Article,English,Zoology
,Bioacoustic monitoring of forest songbirds: interpreter variability and effects of configuration and digital processing methods in the laboratory,"Rempel,RS;Hobson,KA;Holborn,G;VanWilgenburg,SL;Elliott,J",Ministry of Natural Resources \& Forestry;Environment \& Climate Change Canada;Canadian Wildlife Service;Ministry of Natural Resources \& Forestry,"Omnidirectional bioacoustic recording systems offer the ability to record forest songbirds in the field by technical staff, and then interpret the recordings later in the laboratory by skilled interpreters. Among several advantages to this approach are the ability to estimate variance among interpreters, obtain a permanent archival record of the point Count, reduce costs by using regular field crews to collect data vs. those skilled in bird identification, and remove impediments to breeding bird surveys due to lack of available skilled birders. In this study we first evaluated the effects of microphone configuration and digital processing methods on the quality and effectiveness of the recordings, and then evaluated how consistently skilled birders interpreted the same songbird recordings collected under a mix of environmental conditions, and related this to the commonness of the species. At the time of this evaluation, the most cost-effective configuration of the bioacoustic monitoring system included use of a 180degrees/180degrees microphone combination, a minidisc digital recording system, analog transfer of the sound data via a digital soundcard, post-processing amplification of the signal, and data storage in an MP3 format. This combination maintains high sound fidelity while minimizing both expense and data storage requirements. As recording device technology improves, the direct storage and digital transfer of WAV format files will be the preferred and most effective recording option. Despite noisy conditions due to wind and other ambient sounds for many of the recordings, interpreters showed a high level of similarity in species identification and enumeration for the 34 most abundant species. Standardized coefficient of variance increased sharply when species had fewer than 10 occurrences, suggesting that birders are more variable in their identification of rare or uncommon species. Desktop identification systems that include type specimens of spectrographic signature and sound clips to aid interpreters could improve identification accuracy of rarer species.",acoustic surveys;digital recording techniques;microphones,JOURNAL OF FIELD ORNITHOLOGY,2005,WIN,Article,English,Ornithology
10.1016/j.rmb.2017.10.029,Understanding the complementarily of two survey methods in the study of bird communities during the breeding season in a tropical cloud forest,"Suarez-Garcia,Omar;Gonzalez-Garcia,Fern;o;Celis-Murillo,Antonio",Instituto Politecnico Nacional - Mexico;Instituto de Ecologia - Mexico;Illinois Natural History Survey;University of Illinois System;University of Illinois Urbana-Champaign,"Point counts are the most commonly used survey method for the study of birds in the tropics. However, thanks to the development of new sound recording technologies, the bioacoustic method has recently been suggested as an alternative to point counts or to complement them. In this study, we examined the estimates of richness, diversity, community structure and composition, number of species detected at each sampling point and probabilities of species occupancy and detection, obtained using the point count method and the bioacoustic method individually or in a complementary way. This study was carried out in the Cloud Forest Sanctuary of Xalapa, Veracruz, during the breeding season of the birds. A total of 32 species were recorded using point count method, 37 species using the bioacoustic method and 38 species with both methods simultaneously. The sampling efficiency was 94\% for point counts, 84\% for the bioacoustic method and 95\% for the combination of methods. Six species were detected exclusively with the bioacoustic method, while only one species was recorded exclusively with point counts. Although the results do not show a clear superiority of the simultaneous use of both methods, we recommend it because it lets to make additional records and offers the possibility of store bird recordings. (C) 2017 Universidad Nacional Autonoma de Mexico, Instituto de Biologia.",Bioacoustic method;Point counts;Sound recordings;Detection probability;Occupancy;Multimethod,REVISTA MEXICANA DE BIODIVERSIDAD,2017,DEC,Article,Spanish,Biodiversity Conservation
10.1016/j.rmb.2016.10.005,"Bioacoustic analysis of six anuran species from the Connoran Lagoon, Sardinayacu Lake complex, Sangay National Park, Ecuador","Batallas,Diego;Brito,Jorge",Escuela Politecnica Nacional Ecuador,"In December and February, 2010-2011, studies were conducted in the Sardinayacu Lake Complex, located in Sangay National Park. Each field study had a duration of 10 days. The objective of this study was to analyze the bioacoustic characteristics of anuran vocalizations in Cormoran Lagoon, one of the lakes of the Complejo Lacustre de Sardinayacu. Day and night rounds were performed for the study, focusing the sampling effort on the areas with the greatest vocal activity. This activity was recorded with a digital recorder connected to a unidirectional microphone. The vocalizations of 6 species of anurans were analyzed, which were described both qualitatively and quantitatively based on spectral variables (frequencies measured in kilohertz) and time variables (duration and interval of the calls, notes and pulses measured in milliseconds). The interspecific variations indicate that the calls of 6 anuran species from the Cormoran Lagoon have their own time and spectral characteristics. (C) 2016 Universidad Nacional Autonoma de Mexico, Institute de Biologia.",Herpetology;Spectral variables;Temporal variables;Advertisement calls;Frequency;Interspecific variation,REVISTA MEXICANA DE BIODIVERSIDAD,2016,DEC,Article,Spanish,Biodiversity Conservation
,It's Personal: Bioacoustic Identification,"Hampson,Michelle",,,,IEEE SPECTRUM,2019,DEC,Editorial Material,English,"Engineering, Electrical \& Electronic"
10.1111/1365-2664.13492,Bioacoustic monitoring reveals shifts in breeding songbird populations and singing behaviour with selective logging in tropical forests,"Pillay,Rajeev;Fletcher,Jr.,RobertJ.;Sieving,KathrynE.;Udell,BradleyJ.;Bernard,Henry",State University System of Florida;University of Florida;Universiti Malaysia Sabah;University of Northern British Columbia;University of Queensland,"Selective logging is the primary cause of tropical forest degradation and is rapidly expanding worldwide. While the impacts of logging on species diversity and distributions are well understood, little is known about the effects of logging on animal behaviours central to individual fitness and population persistence. The song rate of breeding songbirds is a behavioural trait that is often positively associated with male density and used by conspecific females as an indicator of territory and male quality. Thus, contrasting logging-induced adjustments in song rates of individual birds with population shifts may illuminate potential mechanisms underlying population distributions. We present a novel application of bioacoustic monitoring, integrating counts of individuals, songs and duets from single automated recording units (ARUs) with N-mixture models, to estimate shifts in population parameters (occupancy, abundance) and singing behaviours (per-capita song rates, per-pair duet rates) of 32 Bornean songbird species with logging. We tested hypotheses on the relationships between adjustments in behavioural and population parameters with logging, and further tested the extent to which species traits predicted behavioural and population shifts. Adjustments to singing behaviour in 59 and 53\% of species (57\% of duetting species) were concordant with differences in occupancy and abundance respectively, such that species showing reduced populations with logging also produced fewer songs per-capita, and vice versa. Species known to prefer undisturbed habitats and large-bodied species showed the most negative effects of logging on singing behaviour and population distributions. Species known to exploit degraded habitats exhibited the opposite pattern. Subdued singing in logged forests by species of conservation concern suggests limited competition between territorial males in small populations and may also signal low-quality territories. Synthesis and applications. We demonstrate that bioacoustic monitoring can be used to not only estimate important population parameters of occupancy and abundance across a diverse tropical songbird community, but also enables quantification of behaviours considered relevant to individual fitness, yet unobtainable with conventional methods (e.g. point counts). Bioacoustics provides a viable approach to reliable automated large-scale monitoring of hyperdiverse tropical forest systems under logging operations and other land-use pressures.",abundance;conservation behaviour;functional species traits;N-mixture model;occupancy;oscines;per-capita song rate;per-pair duet rate,JOURNAL OF APPLIED ECOLOGY,2019,NOV,Article,English,Biodiversity Conservation;Ecology
10.1603/029.102.0436,On Automatic Bioacoustic Detection of Pests: The Cases of Rhynchophorus ferrugineus and Sitophilus oryzae,"Potamitis,Ilyas;Ganchev,Todor;Kontodimas,Dimitris",Hellenic Mediterranean University;University of Patras,"The present work reports research efforts toward development and evaluation of a unified framework for automatic bioacoustic recognition of specific insect pests. Our approach is based on capturing and automatically recognizing the acoustic emission resulting from typical behaviors, e.g., locomotion and feeding, of the target pests. After acquisition the signals are amplified, filtered, parameterized, and classified by advanced machine learning methods on a portable computer. Specifically, we investigate an advanced signal parameterization scheme that relies on variable size signal segmentation. The feature vector computed for each segment of the signal is composed of the dominant harmonic, which carry information about the periodicity of the signal, and the cepstral coefficients, which carry information about the relative distribution of energy among the different spectral sub-bands. This parameterization offers a reliable representation of both the acoustic emissions of the pests of interest and the interferences from the environment. We illustrate the practical significance of our methodology on two specific cases: 1) a devastating pest for palm plantations, namely, Rhynchophorus ferrugineus Olivier and 2) a pest that attacks warehouse stored rice (Oryza sativa L.), the rice weevil, Sitophilus oryzae (L.) (both Coleoptera: Curculionidae, Dryophorinae). These pests are known in many countries around the world and contribute for significant economical loss. The proposed approach led to detection results in real field trials, reaching 99.1\% on real-field recordings of R. ferrugineus and 100\% for S. oryzae.",bioacoustics;Rhynchophorus ferrugineus;Sitophilus oryzae;automatic recognition;automatic detection,JOURNAL OF ECONOMIC ENTOMOLOGY,2009,AUG,Article,English,Entomology
10.5751/ACE-01615-150125,Bioacoustic analyses reveal that bird communities recover with forest succession in tropical dry forests,"Owen,KiirstiC.;Melin,Am;aD.;Campos,Fern;oA.;Fedigan,LindaM.;Gillespie,ThomasW.;Mennill,DanielJ.",University of Windsor;University of Calgary;Alberta Childrens Hospital;University of Calgary;University of Texas System;University of Texas at San Antonio (UTSA);University of California System;University of California Los Angeles,"With expanding anthropogenic disturbances to forests around the world, forest restoration is increasingly important for bird conservation. Restoration monitoring is critical for understanding how birds respond to forest regeneration and for assessing the effectiveness of restoration efforts. Using bioacoustic monitoring, we recorded bird communities during both dry and wet seasons at 62 sites along a chronosequence of tropical dry forests in the Area de Conservacion Guanacaste in Costa Rica. Tropical dry forests rank among the globe's most imperiled ecosystems, adding special urgency to their restoration and accompanying restoration monitoring. We found that bird species diversity, richness, and abundance increase with measures of forest maturity. Our results show that bird communities in regenerating areas become more similar to those of undisturbed areas as forests mature. This suggests that bird communities are recovering to predisturbed conditions in regenerating sites, and that maturing tropical dry forests are home to an increasingly diverse and abundant community of birds. We conducted an additional assessment, by sampling 30 locations using point-counts that were originally surveyed 23 years ago. We found that species richness and abundance were similar across this 23-year interval, although bird community composition changed because several forest-specialist species were only detected in the later period. Our research reveals that the regenerating tropical dry forests of northwestern Costa Rica have recovered species richness and abundance levels and are currently undergoing a succession in community composition toward that of a primary tropical dry forest. Our study shows bird communities recovering in a nearly century-old chronosequence of regenerating forests.",bioacoustics;biodiversity;bird species recovery;community composition;conservation;forest restoration;neotropical bird communities;passive acoustic monitoring;tropical dry forest,AVIAN CONSERVATION AND ECOLOGY,2020,JUN,Article,English,Biodiversity Conservation;Ecology;Ornithology
10.1111/ele.14002,Individual contributions to group chorus dynamics influence access to mating opportunities in wood frogs,"Calsbeek,Ryan;JavierZamora-Camacho,Francisco;Symes,LaurelB.",Dartmouth College;Consejo Superior de Investigaciones Cientificas (CSIC);Cornell University,"A limitation in bioacoustic studies has been the inability to differentiate individual sonic contributions from group-level dynamics. We present a novel application of acoustic camera technology to investigate how individual wood frogs' calls influence chorus properties, and how variation influences mating opportunities. We recorded mating calls and used playback trials to gauge preference for different chorus types in the laboratory. Males and females preferred chorus playbacks with low variance in dominant frequency. Females preferred choruses with low mean peak frequency. Field studies revealed more egg masses laid in ponds where males chorused with low variance in dominant frequency. We also noted a trend towards more egg masses laid in ponds where males called with low mean frequency. Nearest-neighbour distances influenced call timing (neighbours called in succession) and distances increased with variance in chorus frequency. Results highlight the potential fitness implications of individual-level contributions to a bioacoustic signal produced by groups.",bioacoustic;chorus;mate choice;sexual selection,ECOLOGY LETTERS,2022,JUN,Article,English,Ecology
10.11646/zootaxa.3746.2.8,"New bioacoustic and distributional data on Bokermannohyla sapiranga Brandao et al., 2012 (Anura: Hylidae): revisiting its diagnosis in comparison with B-pseudopseudis (Miranda-Ribeiro, 1937)","DeCarvalho,ThiagoRibeiro;Giaretta,AriovaldoAntonio;DaVeigaTeixeira,BernardoFranco;Martins,LucasBorges",Universidade Federal de Uberlandia;Universidade de Sao Paulo,"In this paper, we provide new bioacoustic and distributional data on Bokermannohyla sapiranga, as well as additional comparative bioacoustic data on topotypes of B. pseudopseudis, and re-evaluate the differential diagnosis of the former species with respect to the latter. Head shapes (dorsal and lateral views) presented such variation that should not be used to differentially diagnose them as originally proposed. On the other hand, the presence of a dermal ridge along outer tarsi, and color patterns of the eyes and dorsal surface of hand/toe disks still represent diagnostic characters between both species. We also found differences in temporal (call duration; notes per call), spectral (dominant frequency; harmonics), and structural (pulsed/non-pulsed note structure) traits of their calls. Distribution of B. sapiranga is extended eastward (Paracatu), which corresponds to the first record for the State of Minas Gerais, whereas B. pseudopseudis distribution seems to be restricted to rocky montane field environments of northern Goias State.",Advertisement call;Cerrado domain;rocky montane fields;taxonomy,ZOOTAXA,2013,DEC 11,Article,English,Zoology
10.1121/1.419923,Bioacoustic behavior of African fishes (Mormyridae): Potential cues for species and individual recognition in Pollimyrus,"Crawford,JD;Cook,AP;Heberlein,AS",University of Pennsylvania,"An analysis of the natural bioacoustic signals made by two closely related African fishes (P. adspersus and P. isidori) revealed that these species separated along several acoustic dimensions that are likely to be important for species isolation. Both species produced grunts that were composed of a trains of pulses, but the pulse repetition rates were distinctly different (56+/-3 s.d, vs 44+/-4 s.d, pps), Complex tone bursts (moans) were also used, but the species differed substantially in the location of the fundamental peak (240 Hz+/-12 s.d. vs 332 Hz+/-34 s.d.). Some P, adspersus males sustained these tones for over a second (812 ms+/-495 s.d.), whereas P, isidori produced shorter tones (121 ms+/-35 s.d,), During interactions with females, the two species produced the grunts and moans in distinct species-typical patterns: P. adspersus males alternated grunts with moans and P, isidori produced a single grunt followed by a succession of moans. A detailed analysis of identified individual P. adspersus showed that acoustic features constituted individual signatures which could be used by conspecifics to identify individuals. Grunt spectral peak frequency was shown to be a good predictor of male mass, with peak frequency decreasing at 72 Hz per grant. Simulated standardized courtship encounters with females revealed that males differ markedly in their apparent ability to produce sustained moans and it is suggested that this may be particularly important to females in mate selection. (C) 1997 Acoustical Society of America.",,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,1997,AUG,Article,English,Acoustics;Audiology \& Speech-Language Pathology
10.1111/2041-210X.13040,Modelling sound attenuation in heterogeneous environments for improved bioacoustic sampling of wildlife populations,"Royle,J.Andrew",United States Department of the Interior;United States Geological Survey,"1. Acoustic sampling methods are becoming increasingly important in biological monitoring. Sound attenuation is one of the most important dynamics affecting the utility of acoustic data as it directly affects the probability of detection of individuals by acoustic sensor arrays and especially the localization of acoustic signals necessary in telemetry studies. Therefore, models of sound attenuation are necessary to make efficient use of acoustic data in ecological monitoring and assessment applications. Models of attenuation in widespread use are based on Euclidean distance between source and sensor, which is justified under spherical attenuation of sound waves in homogeneous environments. 2. In this paper, I develop a model of sound attenuation based on a non-Euclidean cost-weighted distance metric which contains attenuation coefficients that characterize the attenuation of sound due to environmental heterogeneity in the vicinity of an acoustic sensor array. 3. I show that parameters of the proposed attenuation model can be estimated by maximum likelihood using experimental data from an array of fixed sources, thus allowing investigators who use bioacoustic methods to devise explicit models of sound attenuation in situ and apply them to localization of sources and density estimation. In addition, drawing on analogy with spatial capture-recapture models, I argue that parameters of the non-Euclidean model of attenuation can be estimated when source locations are unknown. Thus, the models can be applied to real field studies which require estimation of attenuation parameters or localization of signals. 4. Models of heterogeneous sound attenuation allow more accurate descriptions of acoustic monitoring data, and therefore should produce more accurate estimates of ecological parameters of interest, including source locations, density, and movement trajectories. Moreover, the ability to test specific hypotheses about the effects of habitat and landscape structure on sound attenuation can improve the design of acoustic monitoring arrays and lead to more efficient deployment of acoustic sensing technology.",acoustic monitoring;bioacoustics;distance sampling;least-cost path models;sound attenuation;sound pressure audiogram;spatial capture-recapture;telemetry,METHODS IN ECOLOGY AND EVOLUTION,2018,SEP,Article,English,Ecology
,Automated bioacoustic identification of species,"Chesmore,D",University of York - UK,Research into the automated identification of animals by bioacoustics is becoming more widespread mainly due to difficulties in carrying out manual surveys. This paper describes automated recognition of insects (Orthoptera) using time domain signal coding and artificial neural networks. Results of field recordings made in the UK in 2002 are presented which show that it is possible to accurately recognize 4 British Orthoptera species in natural conditions under high levels of interference. Work is under way to increase the number of species recognized.,automated identification;Orthoptera;bioacoustics;time domain signal coding;biodiversity;informatics,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,2004,JUN,Article; Proceedings Paper,English,Multidisciplinary Sciences
